system,arg_size,colocated,num_nodes,throughput
ownership,small,False,100,205742.81544718312
ownership,small,False,80,187284.72322708956
ownership,small,False,60,133324.31642267897
ownership,small,False,40,88460.050667337
ownership,small,True,100,82623.67046032655
ownership,small,True,80,85914.90132837491
ownership,small,True,60,81180.85780308468
ownership,small,True,40,61985.558034917216
ownership,small,True,20,40984.76496418124
ownership,large,False,100,136351.04148927456
ownership,large,False,80,114333.90682983305
ownership,large,False,60,76735.44181335722
ownership,large,False,40,56294.27356164941
ownership,large,False,20,29238.78805293789
ownership,large,True,80,51567.986083062606
ownership,large,True,60,49472.161703346734
ownership,large,True,40,43494.39763102337
ownership,large,True,20,25715.1176858047
