system,arg_size,colocated,num_nodes,throughput
by_value,small,False,100,221297.05816013328
by_value,small,False,80,180587.90093325241
by_value,small,False,60,139428.72219076045
by_value,small,False,40,91697.10034404144
by_value,small,False,20,44734.95049728295
by_value,small,True,100,85560.7345899079
by_value,small,True,80,84975.83560859531
by_value,small,True,60,80023.19499626083
by_value,small,True,40,62461.453296647705
by_value,small,True,20,41245.83382983644
ownership,small,False,100,219035.8889410821
ownership,small,False,80,183181.45747541488
ownership,small,False,60,130036.21078569708
ownership,small,False,40,93932.82498172262
ownership,small,False,20,43872.562998366695
ownership,small,True,100,85555.40366979766
ownership,small,True,80,84254.09239700472
ownership,small,True,60,80303.242429625
ownership,small,True,40,62644.69409688803
ownership,small,True,20,41120.17291181414
ownership,large,False,100,138159.92129869215
ownership,large,False,80,107771.19250546023
ownership,large,False,60,84471.40630787237
ownership,large,False,40,56502.27882069135
ownership,large,False,20,28686.558288260207
ownership,large,True,100,51663.992093050525
ownership,large,True,80,50979.22640741586
ownership,large,True,60,48297.0669229478
ownership,large,True,40,42499.04114308663
ownership,large,True,20,24924.47507372139
leases,small,False,100,29035.8889410821
leases,small,False,80,13181.45747541488
leases,small,False,60,10036.21078569708
leases,small,False,40,9932.82498172262
leases,small,False,20,4872.562998366695
leases,small,True,100,8555.40366979766
leases,small,True,80,8254.09239700472
leases,small,True,60,8303.242429625
leases,small,True,40,6644.69409688803
leases,small,True,20,4120.17291181414
leases,large,False,100,18159.92129869215
leases,large,False,80,17771.19250546023
leases,large,False,60,8471.40630787237
leases,large,False,40,5502.27882069135
leases,large,False,20,2686.558288260207
leases,large,True,100,5663.992093050525
leases,large,True,80,5079.22640741586
leases,large,True,60,4897.0669229478
leases,large,True,40,4499.04114308663
leases,large,True,20,2924.47507372139
centralized,small,False,100,29035.8889410821
centralized,small,False,80,13181.45747541488
centralized,small,False,60,10036.21078569708
centralized,small,False,40,9932.82498172262
centralized,small,False,20,4872.562998366695
centralized,small,True,100,8555.40366979766
centralized,small,True,80,8254.09239700472
centralized,small,True,60,8303.242429625
centralized,small,True,40,6644.69409688803
centralized,small,True,20,4120.17291181414
centralized,large,False,100,18159.92129869215
centralized,large,False,80,17771.19250546023
centralized,large,False,60,8471.40630787237
centralized,large,False,40,5502.27882069135
centralized,large,False,20,2686.558288260207
centralized,large,True,100,5663.992093050525
centralized,large,True,80,5079.22640741586
centralized,large,True,60,4897.0669229478
centralized,large,True,40,4499.04114308663
centralized,large,True,20,2924.47507372139
